ID,Name,Type,X,Y,Width,Height,Section Link,Direct Link
2:6711,"Frame 491",frame,27795,7525,200,60,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6711","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6711&mode=design"
2:6712,"SOLUTION 1",text,27839.5,7540,111,30,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6712","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6712&mode=design"
2:6713,"Group 285",group,28163,7525,470,337.9765625,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6713","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6713&mode=design"
2:6714,"사각형 1009",group,28163,7555,470,307.9765625,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6714","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6714&mode=design"
2:6715,"Vector",vector,28163,7555,470,307.9765625,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6715","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6715&mode=design"
2:6716,"Vector",vector,28163.58984375,7555.38671875,468.819091796875,307.2027587890625,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6716","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6716&mode=design"
2:6717,"성장으로 가는 전략적인 마케팅",text,28281,7624,234,90,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6717","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6717&mode=design"
2:6718,"간단한 과정으로 AI가 브랜드의 현재를 빠르고 정확하게 도출합니다",text,28242,7739,312,60,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6718","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6718&mode=design"
2:6719,"Frame 492",frame,28298,7525,200,60,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6719","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6719&mode=design"
2:6720,"SOLUTION 2",text,28340.5,7540,115,30,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6720","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6720&mode=design"
